Titulo;Tesista;Grado;Asesor;Resumen;Año;Especialidad
"Composici&oacute;n musical artificial con algoritmos gen&eacute;ticos";"Vílchez Vargas, Francisco"" xml:lang=""es_ES,Astuvilca Fuster, José"" xml:lang=""es_ES";Licenciatura;Beltrán Castañón, César Armando;"La composici´on musical consiste en el uso y combinaci´on adecuada de diversas notas,&#xD;&#xA;con el prop´ osito de generar una melod´ıa musical. Por otro lado, la improvisaci ´on musical,&#xD;&#xA;consiste en la composici´on instant ´anea, realizada en un momento determinado,&#xD;&#xA;ya sea en base a una composici´on ya existente o alguna totalmente nueva. Para realizar&#xD;&#xA;dicha tarea, se requiere el conocimiento de diversos patrones existentes en teor´ıa&#xD;&#xA;musical y, de esta manera, poder juntarlas teniendo en consideraci ´on ciertos criterios&#xD;&#xA;arm´onicos, mel´odicos y r´ıtmicos para que suene agradable al usuario final. Debido a&#xD;&#xA;la cantidad de conocimiento necesario para poder realizar una composici´on musical,&#xD;&#xA;nuestro proyecto tiene la intenci ´on de realizar un m´etodo que tenga la capacidad de&#xD;&#xA;poder combinar notas adecuadamente siguiendo las reglas de la teor´ıa musical moderna.&#xD;&#xA;Este compositor (improvisador) tendr´a como entrada una armon´ıa y adaptar´a sus&#xD;&#xA;creaciones (improvisaciones) en base a ella. Se lograr ´a realizar dicha tarea mediante&#xD;&#xA;un algoritmo gen´ etico. Para ello, se utilizar ´a como poblaci ´on inicial peque˜nas frases&#xD;&#xA;musicales creadas por expertos, las cuales son conocidos como licks. Estas ser´an&#xD;&#xA;juntadas y mejoradas mediante nuestros operadores gen´ eticos, de tal manera que se&#xD;&#xA;logre una nueva composici´on totalmente distinta a la inicial cada vez que se aplique&#xD;&#xA;nuestro algoritmo. De esta manera, se desarrollar ´a una metodolog´ıa basada en algoritmos&#xD;&#xA;gen´ eticos, incrementando as´ı el estado del arte del ´area y finalmente disponer&#xD;&#xA;de una herramienta de ayuda y autoaprendizaje computarizada para este proceso de&#xD;&#xA;composici´on musical.";2016-09-12;Ingeniería Informática138
"Adopci&oacute;n de herramienta para el soporte a la gesti&oacute;n del portafolio de proyectos de PROCAL - PROSER";"Ghersi Sayán, Sandra Cecilia"" xml:lang=""es_ES";Licenciatura;"Dávila Ramón, Abraham Eliseo"" xml:lang=""es_ES,Flores García, Luis Alberto"" xml:lang=""es_ES";"En la actualidad, las empresas de desarrollo y uso de tecnologías informáticas&#xD;&#xA;buscan optimizar sus procesos para cumplir de mejor forma sus metas y objetivos.&#xD;&#xA;Si bien se tienen modelos de capacidad y madurez, estos se adecuan a medianas o&#xD;&#xA;grandes empresas y no ofrecen una adecuada solución para las pequeñas&#xD;&#xA;empresas.&#xD;&#xA;Ante esta necesidad se crea el proyecto ProCal-ProSer, una iniciativa que busca&#xD;&#xA;determinar el conjunto de factores que influyen en la mejora de procesos para&#xD;&#xA;elevar la competitividad (productividad y calidad) en pequeñas organizaciones que&#xD;&#xA;desarrollan productos software y ofrecen servicios software a través de varios&#xD;&#xA;proyectos de mejora de procesos en organizaciones que se plieguen a la&#xD;&#xA;investigación.&#xD;&#xA;El presente proyecto de tesis presenta la gestión y soporte del portafolio de&#xD;&#xA;proyectos correspondientes al primer ciclo de mejora de organizaciones dentro del&#xD;&#xA;marco del proyecto ProCal-ProSer, bajo el esquema de pruebas controladas, la cual&#xD;&#xA;se realiza con la finalidad de consolidar la información transversalmente de manera&#xD;&#xA;uniformizada y automatizada, y ofrecer una infraestructura que de soporte a la&#xD;&#xA;gestión de portafolio.&#xD;&#xA;El proyecto se inicia con el análisis de los requisitos para la selección de una&#xD;&#xA;herramienta Web y su modificación, luego se procede con el soporte a la gestión&#xD;&#xA;de los sub proyectos incluidos dentro del portafolio de ProCal-ProSer y se generan&#xD;&#xA;reportes que incorporen información de todos los sub proyectos gestionados, que&#xD;&#xA;permitan evaluar factores que influyen en el desarrollo de los sub proyectos y&#xD;&#xA;contribuyan en posteriores tomas de decisiones.";2016-08-05;Ingeniería Informática139
"Desarrollo de una herramienta para la pr&aacute;ctica del curso de matem&aacute;ticas en plataformas educativas virtuales utilizando reconocimiento de emociones";"Zúñiga Soto, Rosario Isabel"" xml:lang=""es_ES";Licenciatura;"Melgar Sasieta, Héctor Andrés"" xml:lang=""es_ES";"El Perú atraviesa una crisis en su sistema educativo, a pesar de estar cerca de lograr&#xD;&#xA;la universalización de la educación primaria, sector importante para el desarrollo&#xD;&#xA;escolar, los resultados muestran que los niños no aprenden como deberían. Para&#xD;&#xA;mejorar esta situación se necesitan aplicar nuevas técnicas que apoyen al desarrollo&#xD;&#xA;educacional sobretodo de los niños y niñas del nivel primario.&#xD;&#xA;En el ámbito tecnológico, existen nuevas herramientas que no están siendo utilizadas&#xD;&#xA;y que podrían ayudar a mejorar la educación en nuestro país. Una de estas&#xD;&#xA;herramientas son las plataformas educativas virtuales, conocidas también como e-&#xD;&#xA;Learning Systems. Si bien estas plataformas logran cubrir algunas expectativas de lo&#xD;&#xA;que debería ser un aula virtual, no toman en cuenta las experiencias, talentos e&#xD;&#xA;intereses de los alumnos. El presente proyecto de fin de carrera propone una&#xD;&#xA;alternativa de solución mediante una herramienta que posibilite el reconocimiento de&#xD;&#xA;emociones por medio de texto ingresado por el alumno, para descubrir el perfil que&#xD;&#xA;posee y poder responder afectivamente a sus necesidades. Para simular el ambiente&#xD;&#xA;pedagógico se crearon lecciones para practicar la materia de Matemáticas. De igual&#xD;&#xA;manera el trabajo se centra en la educación primaria como primer enfoque en el&#xD;&#xA;desarrollo.";2016-07-07;Ingeniería Informática140
"Implementaci&oacute;n de un algoritmo gen&eacute;tico para la optimizaci&oacute;n de flujo vehicular aplicado a la fase de tiempos en las intersecciones de un corredor vial";"Medina Nolazco, Javier Denis"" xml:lang=""es_ES";Licenciatura;"Cueva Moscoso, Rony"" xml:lang=""es_ES";"Este proyecto de fin de carrera busca aportar una posible solución al problema del&#xD;&#xA;tráfico en las principales vías de Lima. Aprovechando la infraestructura de&#xD;&#xA;semaforización, este trabajo se enfocará en modificar y optimizar los tiempos de fases&#xD;&#xA;de los semáforos para un adecuado flujo de tráfico. Se experimentará el&#xD;&#xA;comportamiento del flujo de tránsito en las intersecciones en un corredor vial y se&#xD;&#xA;propondrá un algoritmo genético para la adaptabilidad estos tiempos de fase de modo&#xD;&#xA;que contribuya con reducir el tiempo perdido en el tráfico.";2016-07-07;Ingeniería Informática141
"Adaptaci&oacute;n al &aacute;mbito acad&eacute;mico y mejoras a la usabilidad de un sistema de evaluaci&oacute;n financiera para proyectos mineros";"Espinoza Sánchez, Luis Eduardo"" xml:lang=""es_ES";Licenciatura;"Berrocal Pérez-Albela, Jorge Alberto"" xml:lang=""es_ES,Yrigoyen Montestruque, José Isaac"" xml:lang=""es_ES";"Actualmente, se cuenta con un sistema de evaluación financiera de proyectos&#xD;&#xA;mineros realizado en otro proyecto de fin de carrera. Este permite realizar las&#xD;&#xA;operaciones necesarias para poder determinar si un proyecto minero es rentable. Sin&#xD;&#xA;embargo, tiene características que hacen que sea de difícil uso. Lo cual es un&#xD;&#xA;obstáculo que impide que pueda ser usado con todo el potencial con el que fue&#xD;&#xA;diseñado.&#xD;&#xA;Asimismo, se ha resaltado que sería bastante útil que funcione en un ambiente&#xD;&#xA;académico que permita ser usado como una herramienta de enseñanza y de&#xD;&#xA;aprendizaje de estos temas. Pero en su estado actual, no es posible que este sea&#xD;&#xA;utilizado en una institución académica.&#xD;&#xA;Por estas razones, se propone la realización de pruebas de usabilidad para identificar&#xD;&#xA;los problemas que afectan al sistema de evaluación financiera para su posterior&#xD;&#xA;mejora. Adicionalmente, también se propone agregar un módulo adicional que&#xD;&#xA;permita la administración del sistema en un ámbito académico.";2016-07-07;Ingeniería Informática142
"Sistema integrado con servicios web que brinde soporte a los procesos de gesti&oacute;n de proyectos de la empresa desarrolladora de software Tau";"Diaz Dumont, Paul Francisco"" xml:lang=""es_ES";Licenciatura;"Berrocal Pérez-Albela, Jorge Alberto"" xml:lang=""es_ES";"En la actualidad existen diversas empresas que utilizan servicios web para dar soporte a sus&#xD;&#xA;procesos, lo que genera una dependencia directa al uso de este tipo de herramientas. Si bien&#xD;&#xA;pueden existir problemas de integración entre ellas, causando diversas dificultades tales como&#xD;&#xA;la distribución en la productividad y la inconsistencia de datos, los beneficios que brindan&#xD;&#xA;suelen ser mucho mayores por lo que se justifica la decisión de usar los servicios web.&#xD;&#xA;La empresa Tau, denominada así por temas de confidencialidad, utiliza servicios de diversos&#xD;&#xA;proveedores para realizar sus actividades comerciales y presenta problemas por la falta de&#xD;&#xA;estándares de comunicación entre dichos componentes. El presente proyecto contempla el&#xD;&#xA;análisis de las deficiencias de esta forma de trabajo en el contexto específico de dicha&#xD;&#xA;organización con el fin de identificar posibilidades de mejora y con ello construir una&#xD;&#xA;herramienta que facilite su trabajo con aplicaciones basadas en tecnologías web.&#xD;&#xA;De este modo, el resultado final del proyecto es un sistema de información que apoyará a la&#xD;&#xA;ejecución de ciertos procesos de la empresa y que cuenta con la particularidad de integrarse&#xD;&#xA;con múltiples proveedores de servicios web, actuando como componente unificador entre&#xD;&#xA;ellos. El proceso de construcción realizado se encuentra detallado a lo largo de los siete&#xD;&#xA;capítulos que conforman este documento. Los capítulos se encuentran distribuidos de la&#xD;&#xA;siguiente forma:&#xD;&#xA;Los capítulos uno y dos describen la problemática que se busca resolver, así como el marco&#xD;&#xA;conceptual que permite entender de una manera más completa la situación en la cual se&#xD;&#xA;presenta.&#xD;&#xA;El capítulo número tres contempla el análisis de las funcionalidades requeridas por el proyecto,&#xD;&#xA;y los componentes que definen su comportamiento, tales como los usuarios y los casos de uso.&#xD;&#xA;El cuarto capítulo está enfocado a la especificación de los servicios web con los cuales se&#xD;&#xA;integrará el sistema propuesto y los mecanismos de comunicación y autenticación empleados.&#xD;&#xA;Por otro lado, los capítulos cinco y seis detallan el aspecto técnico del desarrollo e&#xD;&#xA;implementación del producto. Se describen las herramientas y conceptos utilizados, así como&#xD;&#xA;la arquitectura del sistema y las consideraciones tomadas en cuenta para su construcción.&#xD;&#xA;Finalmente, el capítulo siete presenta las conclusiones, recomendaciones y observaciones&#xD;&#xA;resultantes del desarrollo del presente trabajo, las cuales son aplicables para futuros proyectos&#xD;&#xA;con una temática similar.";2016-06-27;Ingeniería Informática143
"Adaptaci&oacute;n de los algoritmos SIFT y LSH para la diferenciaci&oacute;n de archivos de im&aacute;genes";"Ramirez Franco, Tania Gabriela"" xml:lang=""es_ES,Ibañez Quispe, Ila"" xml:lang=""es_ES";Licenciatura;"Zapata Del Rio, Claudia María del Pilar"" xml:lang=""es_ES";"El almacenamiento digital de información se ha vuelto un proceso cotidiano para&#xD;&#xA;todo aquel que disponga de algún dispositivo electrónico. Al tratarse de un proceso&#xD;&#xA;tan frecuente, es muy común que se almacenen grandes cantidades de datos/información, volví ´endose ardua su administración. Esto aplica a todos los tipos de datos&#xD;&#xA;digitales.&#xD;&#xA;El presente proyecto se enfoca en los problemas de almacenamiento de archivos&#xD;&#xA;de imágenes, como la gran repetición de archivos, elaborando una solución que permita&#xD;&#xA;aminorar el problema. El objetivo del proyecto es construir una herramienta que&#xD;&#xA;facilite la búsqueda de archivos de imagen que contengan contenidos similares. Para&#xD;&#xA;lograr el objetivo, se evaluaron herramientas que permitieran manipular la información&#xD;&#xA;de los archivos de imagen de manera que se puedan obtener los datos necesarios&#xD;&#xA;para realizar un proceso de comparación. Se decidió utilizar las herramientas SIFT&#xD;&#xA;y LSH y se procedió a adecuarlas para su funcionamiento de acuerdo a los criterios&#xD;&#xA;establecidos durante la investigación.&#xD;&#xA;Finalmente, se pudo elaborar una solución que permite realizar la comparación de&#xD;&#xA;un grupo de imágenes, mostrando porcentajes de similitud entre estas para así poder&#xD;&#xA;saber que imágenes son similares entre sí.&#xD;&#xA;En el primer capítulo del presente documento se desarrolla el problema a tratar&#xD;&#xA;y se explican los términos que se utilizan a lo largo de todo el documento. En el siguiente&#xD;&#xA;capítulo se encuentran los objetivos de la tesis, así como los resultados que&#xD;&#xA;se pretende obtener y las herramientas que se utilizaron para la elaboración de la&#xD;&#xA;solución. En los capítulos siguientes, se desarrollan uno por uno los objetivos alcanzados&#xD;&#xA;y en el ´ ultimo capítulo se encuentran las conclusiones y comentarios sobre el&#xD;&#xA;trabajo realizado.";2016-06-27;Ingeniería Informática144
"Proceso de extracci&oacute;n de patrones secuenciales para la caracterizaci&oacute;n de fen&oacute;menos espacio-temporales";"Maldonado Cadenillas, Rodrigo Ricardo"" xml:lang=""es_ES";Licenciatura;"Alatrista Salas, Hugo"" xml:lang=""es_ES";"El objetivo de este trabajo de fin de carrera es realizar un proceso de extracción de&#xD;&#xA;patrones secuenciales basado en KDD, empleando el algoritmo de minería de&#xD;&#xA;patrones secuenciales PrefixSpan para prever el comportamiento de fenómenos&#xD;&#xA;representados por eventos que cambian con el tiempo y el espacio.&#xD;&#xA;Estos tipos de fenómenos son llamados fenómenos espacio-temporales, los cuales&#xD;&#xA;son un conjunto de eventos o hechos perceptibles por el hombre. Además, están&#xD;&#xA;compuestos por un componente espacial (la ubicación donde sucede el fenómeno),&#xD;&#xA;un componente temporal (el momento o intervalo de tiempo en el que ocurre el&#xD;&#xA;fenómeno) y un componente de análisis (el conjunto de características que describen&#xD;&#xA;el comportamiento del fenómeno).&#xD;&#xA;En el mundo, se pueden observar una gran diversidad de fenómenos espaciotemporales;&#xD;&#xA;sin embargo, el presente trabajo de fin de carrera se centra en los&#xD;&#xA;fenómenos naturales, tomando como caso de prueba el fenómeno espacio-temporal&#xD;&#xA;de la contaminación de los ríos en Reino Unido.&#xD;&#xA;Por lo tanto, con el fin de realizar un estudio completo sobre este fenómeno, se utiliza&#xD;&#xA;KDD (Knowledge Discovery in Databases) para la extracción del conocimiento a&#xD;&#xA;través de la generación de patrones novedosos y útiles dentro de esquemas&#xD;&#xA;sistemáticos complejos. Además, se utilizan métodos de Minería de Datos para&#xD;&#xA;extraer información útil a partir de grandes conjuntos de datos. Así mismo, se utilizan&#xD;&#xA;patrones secuenciales, los cuales son eventos frecuentes que ocurren en el tiempo&#xD;&#xA;y que permiten descubrir correlaciones entre eventos y revelar relaciones de “antes”&#xD;&#xA;y “después”.&#xD;&#xA;En resumen, el presente trabajo de fin de carrera se trata de un proceso para mejorar&#xD;&#xA;el estudio del comportamiento de los fenómenos gracias al uso de patrones&#xD;&#xA;secuenciales. De esta manera, se brinda una alternativa adicional para mejorar el&#xD;&#xA;entendimiento de los fenómenos espacio-temporales; y a su vez, el conocimiento&#xD;&#xA;previo de sus factores causantes y consecuentes que se puedan desencadenar, lo&#xD;&#xA;cual permitiría lanzar alertas tempranas ante posibles acontecimientos atípicos.";2016-05-30;Ingeniería Informática145
"Implementaci&oacute;n de un sistema de informaci&oacute;n para una mype comercial con componentes de libros y facturaci&oacute;n electr&oacute;nica";"Ordaya Lock, Rita Alexandra"" xml:lang=""es_ES";Licenciatura;"Aguilera Serpa, César Augusto"" xml:lang=""es_ES";"En una empresa comercial, la precisión en los registros de transacciones es indispensable. Sin embargo, es complicado mantener la precisión si se realizan manualmente. Mediante las diversas herramientas que las tecnologías actuales nos brindan, se permite sistematizar estos con el propósito de reducir los errores, agilizar y facilitar las tareas que dichos registros impliquen.&#xD;&#xA;Las nuevas tecnologías ofrecen, también, nuevos medios de control, los cuales sirven de apoyo para entidades reguladoras como SUNAT. Esta entidad, mediante sus recientes resoluciones, exige a sus contribuyentes realizar sus tareas de tributación en medios electrónicos. La Resolución de Superintendencia N° 286-2009/SUNAT hace referencia a los libros de Registro de Compras y Registro de Ventas e ingresos, los cuales deben ser generados en formatos digitales y cargados a la plataforma dispuesta por la SUNAT. Por otro lado, la Resolución de Superintendencia N° 374-2013/SUNAT hace referencia a los documentos de facturación, los cuales también deben ser generados en un formato digital Por estas razones, se propone el desarrollo de un sistema de información para la gestión de empresas de tipo comercial, que le permita gestionar sus recursos, automatizar sus procesos de compras, ventas y control de inventario y cumplir con la normativa vigente impuesta por SUNAT.";2016-05-10;Ingeniería Informática146
"Visualizaci&oacute;n de puntos de inter&eacute;s en un campus universitario usando realidad aumentada";"Carrión Castagnola, Pedro Jesús"" xml:lang=""es_ES";Licenciatura;"Zapata Del Rio, Claudia María del Pilar"" xml:lang=""es_ES";"Es habitual que en una universidad de prestigio se realicen eventos de importante&#xD;&#xA;relevancia tanto para la comunidad universitaria como para personas externas a esta,&#xD;&#xA;sin embargo esta información, por lo general, no se encuentra centralizada o no tiene&#xD;&#xA;mayor visibilidad en la web, por lo que queda fuera del alcance de las personas a las&#xD;&#xA;interesadas en asistir.&#xD;&#xA;Además, una persona que no pertenece o que recién se incorpora a la comunidad&#xD;&#xA;universitaria no conoce la ubicación de sitios relevantes como las unidades, facultades&#xD;&#xA;y bibliotecas; incluso las personas que sí pertenecen a la comunidad universitaria&#xD;&#xA;pueden desconocer la ubicación de sitios menos visitados como las direcciones&#xD;&#xA;administrativas, centros e institutos.&#xD;&#xA;La presente tesis busca desarrollar una aplicación móvil con información centralizada&#xD;&#xA;de lugares y eventos de un campus universitario, esta ofrece mostrar la ubicación de&#xD;&#xA;puntos de interés mediante el uso de las tecnologías de realidad aumentada y mapas,&#xD;&#xA;implementar sistemas de búsqueda de puntos de interés, y mostrar información como&#xD;&#xA;descripciones, fotos, enlaces web, enlaces de contacto y lugares relacionados, entre&#xD;&#xA;otros.&#xD;&#xA;Esta aplicación fue implementada para la Pontificia Universidad Católica del Perú&#xD;&#xA;(PUCP) por parte de la Dirección Informática Académica (DIA) con el nombre de&#xD;&#xA;“Descubre PUCP”.";2016-05-09;Ingeniería Informática147
Desarrollo de un simulador de ambiente de terminales de puntos de venta (POS) para realizar pruebas de esfuerzo de motores transaccionales;"León Polo, Cecilia Roxana"" xml:lang=""es_ES,Cisneros Tipe, Juan Alberto"" xml:lang=""es_ES";Licenciatura;"Daly Scaletti, Corrado Pablo Guillermo"" xml:lang=""es_ES";"La presente tesis tiene como objetivo desarrollar una aplicación que simule un ambiente&#xD;&#xA;de terminales de punto de venta (POS) que permita simular pruebas de esfuerzo sobre motores transaccionales para evitar que los defectos de rendimiento impacten la operativa normal de un entorno de producción. Es imprescindible garantizar la estabilidad del motor enrutador transaccional en situaciones en donde aumente la demanda de transacciones a raíz de una proyección en la red de terminales de puntos de venta dado que a través del tiempo se aperturan nuevos canales de venta y se expanden los establecimientos.&#xD;&#xA;Al presentarse algún defecto (indisponibilidad, degradación) en el motor enrutador transaccional se puede comprometer de forma completa toda la red de terminales, imposibilitando la realización de transacciones. Esto a su vez puede generar caos en los&#xD;&#xA;establecimientos donde por ejemplo una cadena de tiendas no pueda realizar ventas y&#xD;&#xA;por consiguiente presentar pérdidas económicas en todos sus establecimientos. Estos&#xD;&#xA;defectos se deben a que los procesos de validación de software en entornos de prueba&#xD;&#xA;no cubren escenarios de alta concurrencia sobre el motor enrutador transaccional y como consecuencia no se mitiga el riesgo de incidencias en producción.&#xD;&#xA;Según lo expuesto estamos frente a un escenario que genera problemas operativos en&#xD;&#xA;los establecimientos de venta, problemas que comprometen la relación entre proveedor&#xD;&#xA;tecnológico y cliente comercial, y en consecuencia afectan al cliente final quien no puede realizar una compra o pago de servicio. Ante este escenario, surge la necesidad de implementar una estrategia basada en una aplicación tecnológica que permita llevar a cabo los procesos de validación de software enfocado en pruebas de esfuerzo para&#xD;&#xA;mitigar el riesgo operativo.&#xD;&#xA;Finalmente, el proyecto de Tesis propone una solución basada en una herramienta informática para la generación de escenarios de pruebas de esfuerzo en donde exija un&#xD;&#xA;alto rendimiento al motor enrutador transaccional de tal forma que las pruebas de robustez y alta disponibilidad estén cubiertas en los procesos de control de calidad de&#xD;&#xA;software.";2016-03-18;Ingeniería Informática148
"An&aacute;lisis, dise&ntilde;o e implementaci&oacute;n de un sistema de gesti&oacute;n y control de proyectos arqueol&oacute;gicos del Per&uacute; aplicado al laboratorio de arqueolog&iacute;a PUCP. Parte 3: etapa de clasificaci&oacute;n y gesti&oacute;n de los bienes culturales encontrados en los proyectos arqueol&oacute;gicos";"Bajalqui Carrasco, Edgar Gustavo"" xml:lang=""es_ES";Licenciatura;"Ríos Alejos, Luis Esteban"" xml:lang=""es_ES";"La presente Tesis propone el análisis, diseño e implementación de un sistema que permita gestionar y controlar el Patrimonio Cultural Arqueológico en el Perú.&#xD;&#xA;Asimismo la Tesis forma parte de un proyecto de implementación mayor, el cual tiene como objetivo dar soporte a una serie de procesos involucrados en la conservación del Patrimonio Cultural Arqueológico del Perú.&#xD;&#xA;La implementación del sistema mayor, que engloba al presente, toma como referencia los procesos que actualmente se manejan para preservar el Patrimonio Arqueológico del Perú desde que se realiza la solicitud para realizar un Proyecto Arqueológico al Ministerio de Cultura, hasta la gestión y control del Patrimonio Arqueológico luego de finalizado los Proyectos. Para la gestión interna de los proyectos Arqueológicos, se ha tomado como base el Laboratorio de Arqueología de la PUCP debido a que es una institución que ha manejado diversos tipos de proyectos arqueológicos por más de 20 años.&#xD;&#xA;Dicho esto, la presente Tesis abarca la tercera parte del Sistema de Gestión y Control del Patrimonio Cultural Arqueológico. Esta tercera parte se enfoca en los procesos realizados por el mencionado Laboratorio de Arqueología PUCP con los Bienes Arqueológicos hallados en los distintos Proyectos Arqueológicos realizados.&#xD;&#xA;El presente Documento de Tesis se encuentra dividido en capítulos. En el primer capítulo se plantea la definición del problema. En el segundo capítulo se explica y justifica la metodología utilizada para realizar la tesis. En el tercer capítulo se presenta el diseño de la solución implementada. En el cuarto capítulo se justifican las herramientas utilizadas en la solución propuesta. Finalmente, en el quinto capítulo se presentan las  observaciones, conclusiones y recomendaciones relacionadas al tema de tesis planteado.";2016-03-17;Ingeniería Informática149
"Plataforma computacional de captura y representaci&oacute;n del movimiento en 3D para apoyo a la rehabilitaci&oacute;n de la marcha";"Galvez Meza, Rodolfo Javier"" xml:lang=""es_ES";Licenciatura;Beltrán Castañón, César Armando;"El movimiento humano es un elemento importante en el estudio de la biología&#xA;humana debido a ser una propiedad básica de la vida. Este resulta aún más&#xA;importante en aspectos colectivos como el deporte, la salud, la educación física, la&#xA;danza, la rehabilitación, entre otros. Especial atención requiere la rehabilitación&#xA;donde, a través del análisis de marcha, el fisiatra observa y estudia el desempeño&#xA;de los pacientes a lo largo de diversas sesiones que realizan, con el fin de ver la&#xA;evolución de los mismos. Sin embargo, capturar y realizar seguimiento al&#xA;movimiento humano de manera computacional es una tarea compleja con&#xA;alternativas costosas. Asimismo, los centros de rehabilitación de Lima no cuentan&#xA;con la tecnología apropiada y existe, por parte de las personas, una negación al&#xA;cambio que complica la inclusión de la misma. Debido a esto, el presente proyecto&#xA;presenta una herramienta de bajo costo que permite registrar y representar el&#xA;movimiento humano en 3D para apoyar a las terapias de rehabilitación de la&#xA;marcha. El registro puede ser almacenado de forma permanente con el fin de&#xA;mantener un histórico y realizar nuevos análisis en el tiempo. El dispositivo usado&#xA;(Kinect) se mostró adecuado para la captura de la información útil con un margen&#xA;de error aceptable que, dependiendo del entorno de captura, éste puede ser&#xA;controlado. En el trabajo se consiguió detectar el patrón de marcha de los ángulos&#xA;de flexión de la rodilla, lo cual permitió comparar diferentes situaciones de caminata&#xA;y calcular medidas como distancia de paso, velocidad del movimiento de la&#xA;persona, porcentaje de datos dentro del rango de referencia de una caminata&#xA;normal (medidas de los ángulos de flexión), de esta manera se consigue determinar&#xA;el nivel de normalidad de un ciclo de paso. Finalmente se desarrolló un prototipo de&#xA;visualización 3D que permite manipular el entorno y tener diferentes vistas del&#xA;movimiento del paciente. Este puede ser reutilizado para crear un ambiente más&#xA;completo de análisis que comprenda otros tipos de movimientos (además de la&#xA;rodilla), soportar un mayor número de fuentes de diferentes ángulos (múltiples&#xA;Kinect), Kinect en movimiento que permita realizar un seguimiento de la marcha en&#xA;un mayor espacio, entre otros. Todo lo anterior mencionado serviría de base para la&#xA;constitución de un laboratorio de rehabilitación basado en realidad virtual.";2015-12-07;Ingeniería Informática150
"Implementaci&oacute;n de un sistema de informaci&oacute;n de apoyo al proceso de evaluaci&oacute;n de cursos para una instituci&oacute;n de educaci&oacute;n inform&aacute;tica";"Coloma Bardales, Manuel Hazael"" xml:lang=""es_ES";Licenciatura;"Murillo Véliz, Braulio Oscar"" xml:lang=""es_ES";El Instituto de Informática de la Pontificia universidad Católica del Perú (InfoPUC) es una organización dedicada a la educación informática, tanto para alumnos de la comunidad universitaria, como para los organismos privados y públicos relacionados a ella. Como parte de los servicios que brinda, está el programa de desarrollo educativo con el uso de las TIC. Dentro de este programa se ofrecen cursos a través de una plataforma virtual, los cuales se evalúan de manera presencial en cada colegio. Para estas evaluaciones , InfoPUC envía evaluadores contratados para dicho trabajo, en su mayoría alumnos universitarios con horarios diversos. En estos momentos la organización cuenta con mas colegios en convenio educativo (80) que al inicio el programa (5 a 10), y es muy probable que esta cifra siga en aumento. Según manifiestan, desde el 2013 les ha sido engorroso trabajar y organizar la cantidad de información de las evaluaciones mediante hojas de calculo. La disponibilidad de tiempo de los evaluadores es un tema complicado de gestionar, ya que como se mencionó, son en mayoría alumnos de la universidad con horarios muy variados y cuyo tiempo disponible para trabajar para InfoPUC es distinto día a día.;2015-11-10;Ingeniería Informática151
